Number,Item,Recommendation,Item Source,Additional Guidance,Yes/No/NA,Comments or location in manuscript,Example(s),Present in the manuscript? Yes/No/NA,Comments or location in manuscript
11.0,Key results,Summarize key results with reference to study objectives.,Modified STROBE,Discuss if the results support the underlying hypotheses or how the results address the research question(s) of interest.,,,,,
11.1,Interpretation,"Give a reasonable interpretation of results considering objectives, multiplicity of analyses, results from similar studies and comparisons between datasets, and other relevant evidence.",Modified STROBE,"Define or clarify any subjective terms such as ""dominant,"" ""dysbiosis,"" ""healthy"" ( https://doi.org/10.1038/s41579-024-01107-0 ) and similar words used in interpretation of results. Definitions may also need to be provided in the Introduction or Methods if they are directly used in hypotheses or research questions.

When interpreting the findings, consider how the interpretation of the findings may be summarized or quoted for the general public such as in press releases or news articles.

If causal language is used in the interpretation (such as ""alters,"" ""affects,"" ""results in,"" ""causes,"" or ""impacts""), assumptions made for causal inference should be explicitly stated.

Distinguish between functional potential (e.g., inferred from metagenomic data) and observed activity (e.g., from metatranscriptomic, metabolomic, metaproteomic data) if discussing microbial function.",,,,,
11.2,Limitations,"Discuss limitations of the study, taking into account sources of potential bias (Item 7.6) or imprecision.",STROBE,"Consider limitations resulting from the methods (especially novel methods), the study design, the spatiotemporal scope, and the sample size. ",,,,,
11.3,Generalizability,Discuss the generalizability (external validity) of the study results.,Modified STROBE,To what populations or other settings do you expect the conclusions to generalize? How does this work compare to other publications or datasets in related areas?,,,,,
12.0,Ongoing & future work,Describe potential future research or ongoing research based on the study's findings. ,STORMS,Describe what the next steps are and any limitations or expected challenges associated with future research in this area. ,,,,,
13.0,Conclusions,State the overall conclusions arising from this work.,STREAMS,Describe how the results fit into the broader context of the field. This Conclusions section may be required to be a separate section within the manuscript.,,,,,
Other information,,,,,,,,,
14.0,Acknowledgements,Include acknowledgements of those who contributed to the research but did not meet criteria for authorship. Use the CRediT roles ( https://credit.niso.org ) for author contributions and determining authorship vs. an acknowledgement.,Modified STORMS,"Review journal guidelines for specific guidance regarding acknowledgements.

For general guidelines on authorship, see http://www.icmje.org and https://www.elsevier.com/authors/journal-authors/policies-and-ethics/credit-author-statement

Also acknowledge any relevant facilities or institutions e.g., lab space, field station that was used to perform the experiments, facility that was used for computing infrastructure.

If applicable (and some journals require a separate data ethics section), provide acknowledgements for use of indigenous/first nation lands and/or samples as well as other information about ethical research practices as described in Item 3.5.",,,,,
14.1,Funding,"Give the source of funding (award number) and the role of the funders for the present study and, if applicable, for the original study on which the present article is based.",STROBE,"Accurate funding information should be provided for each author when applicable. A standardized, machine-readable format should be used whenever possible (e.g., https://www.niso.org/publications/rp-37-2021-jats4r-funding-v1.3 ). Funder IDs from the Research Organization Registry ( https://ror.org ) can also be included if applicable.",,,,,
15.0,Conflicts of interest,Include a conflicts of interest statement.,STORMS,"Follow journal specific guidelines for the formatting of the conflicts of interest statement. Ensure all potential perceived conflicts of interest are disclosed (e.g., owned licenses, affiliations with companies, journal editorial roles, other funding sources).",,,,,
16.0,Supplementary data & files,Indicate where supplementary data and files may be accessed and what information they contain. ,Modified STORMS,"Anything shared via an external site (e.g., FigShare, Zenodo) should have the publicly available DOIs reported in the manuscript; Accession numbers should be provided for data deposited into repositories; Depending on the analysis performed, examples of the supplemental results included could be mean relative abundance, differential abundance, raw p-value, multiple hypothesis testing-adjusted p-values, and standard error. Include scripts or links to scripts that were run if applicable to increase reproducibility (Item 8.5). Environment and sample metadata can also be reported in supplementary files: provide linked accession numbers within spreadsheets when possible. Provide keys or data dictionaries for matching up the information in different files. Use a machine-readable, plain-text format such as csv or tsv whenever possible. Include licenses/permissions to utilize figures, images, illustrations, or other products from software, companies, other researchers, or journals. ",,,,,
17.0,Sample & data availability,Provide a statement about how and where all data associated with the study can be accessed. Provide a statement on how any associated samples may be accessed.,STREAMS,"This is a required field by some journals. Provide all accession numbers, DOIs, and/or links for data in public repositories or in an external site (e.g., FigShare, Zenodo). Ensure data use policies are followed and all data generated by other researchers or groups is cited properly and also included in the references. Describe the naming scheme of the samples and data (and keys for matching names with publicly available datasets). If not all data or samples are publicly available, provide a justification as to why the data or samples cannot be made available (e.g., due to privacy concerns, indigenous data sovereignty, protections for endangered species). Provide information about how samples are stored, how they can be shared, and the process for sharing samples (e.g., contact the corresponding author to arrange for a material transfer agreement). If museum specimens were used, provide the full catalogue numbers along with the museum collection information and/or specific database links.",,,,,
18.0,AI usage,"Describe if AI was used, the program and version that was used, and the exact ways it was utilized (e.g. literature review, code generation, data analysis, manuscript drafting, translation assistance). ",STREAMS,"Ensure that all uses of generative AI (e.g., for text and images) are clearly defined. Refer to specific publisher guidance: https://www.nature.com/nature-portfolio/editorial-policies/ai and/or guidance from funding agencies e.g., https://www.energy.gov/sites/default/files/2024-06/Generative%20AI%20Reference%20Guide%20v2%206-14-24.pdf for the kinds of AI usage that should be reported on and their specific reporting requirements. Guidelines for AI usage are still rather dynamic, so ensure up-to-date guidance has been followed. This information may also need to be reported on within the Methods. ",,,,,
